drupal_id,drupal_uuid,directus_id,code,name,status,action
8,"e4683231-c949-4d94-9c33-690fcc6548b9",19c60ca6-a653-440e-af94-93c6dacc7eeb,"8","Business",success,skipped
9,"55812ccc-2945-4848-92d9-1108728af828",9233b11a-2911-4ffd-bb18-d7e2f710c885,"9","Energy",success,skipped
10,"1815cbf4-acca-4778-8378-022fcfde5a33",cbe254f5-ee1e-4cf9-b3e8-e97d19768aff,"10","Construction",success,skipped
11,"45e71ad9-77f7-4f6f-aea1-bccd27570010",3574d5f0-1347-4938-a003-012327ad3905,"11","Buildings",success,skipped
12,"35271c6f-cd79-4315-b9d5-b193cafab022",18474f77-a6a4-45e6-85c6-1a92a6cbb640,"12","Transport",success,skipped
13,"e618b406-40d7-4fd2-8730-0c52c92fcd9e",f9057a1a-0187-434e-903b-5ae677961bd8,"13","Power",success,skipped
14,"cb2003e2-dd07-4d23-9043-7ccc8a3dc5ec",96952601-6476-4a40-9bf4-6efc75574ad2,"14","Industrial",success,skipped
15,"4e1ccdd2-c175-4c14-82e2-7de166a246ec",227699be-82f5-4d27-9611-7dff276a8c9f,"15","Water / Waste",success,skipped
16,"cf71cd5a-590b-40a6-a6f8-b1c0b26b59f7",40c93877-1ee0-4851-9037-7113690daee6,"16","Equipment",success,skipped
17,"d4e7111b-f402-4747-9e13-7b3d06f237c1",3caf7678-50f2-4a26-80f1-afa603c3067a,"17","Materials",success,skipped
18,"edc48363-4c48-4aa9-8523-cdd28e80c3cc",c5262703-a6b2-4f9d-975a-9888cfef692c,"18","Tech",success,skipped
19,"291877f1-4d55-4fbe-849d-f8af79639a3e",d4888876-06ac-4919-823f-1a765bf512a9,"19","Finance",success,skipped
20,"2f97904d-4166-48b5-9022-46600ac24355",0e58a155-7eb1-4c1e-851d-6168591a5b8c,"20","Legal & Risk",success,skipped
21,"714e5ad7-3bf9-4695-a7b4-103d313d126b",2332cd3c-5c5f-4ac8-9d2e-e0710ccd9296,"21","Companies",success,skipped
22,"449b79d5-fad7-4c9c-8a20-1cd7b5e726ef",5148b88f-9fe9-4c06-9d99-827cc5e5b910,"22","People",success,skipped
23,"c3ddffb9-f9d1-4589-ae80-d53c29095324",c5ac6e79-7b02-4e9d-a449-54b1e936af8f,"23","Government Policy",success,skipped
97,"7a35bc69-061b-4433-bfd6-37bdaba50080",c0c0e4dc-138a-4e0f-93fb-253620fcac2e,"97","Hydrocarbon",success,skipped
98,"b994ac86-ed64-48f2-b068-ea173372d16d",93db06bc-93b8-4086-ada6-2b6064c0e8e8,"98","Mining",success,skipped
